,Unnamed: 0,Players,Result,Accuracy,Moves,Date,Unnamed: 6,game_link
0,10 min,zainsiddiqii  (557)  methburger682  (356),1  0,42.3  57.6,62,"Dec 6, 2020",,https://www.chess.com/game/live/5900312365
1,10 min,JimenaGallardo  (438)  zainsiddiqii  (643),0  1,77.7  64.7,40,"Dec 9, 2020",,https://www.chess.com/game/live/5922717305
2,10 min,DanielBrown1974  (577)  zainsiddiqii  (531),1  0,76.4  58.3,25,"Dec 9, 2020",,https://www.chess.com/game/live/5923131073
3,10 min,zainsiddiqii  (625)  RRR0007  (615),1  0,81.4  77.5,64,"Dec 9, 2020",,https://www.chess.com/game/live/5923181350
4,10 min,zainsiddiqii  (564)  prune131  (639),0  1,31.6  55.5,12,"Dec 10, 2020",,https://www.chess.com/game/live/5927374018
5,10 min,zainsiddiqii  (528)  aksoysercann  (735),0  1,62.7  77.2,24,"Dec 10, 2020",,https://www.chess.com/game/live/5930521599
6,10 min,Pablo2007sep  (568)  zainsiddiqii  (484),1  0,86.5  71.1,23,"Dec 10, 2020",,https://www.chess.com/game/live/5930543392
7,10 min,biggoatepi  (512)  zainsiddiqii  (444),1  0,40.3  34.3,48,"Dec 10, 2020",,https://www.chess.com/game/live/5930567172
8,10 min,zainsiddiqii  (481)  iHothead  (425),1  0,67.4  56.8,48,"Dec 10, 2020",,https://www.chess.com/game/live/5930631626
9,10 min,Thien0109  (427)  zainsiddiqii  (511),0  1,13.5  34.7,51,"Dec 10, 2020",,https://www.chess.com/game/live/5930695382
10,10 min,zainsiddiqii  (484)  billek51  (589),0  1,26.6  43.5,30,"Dec 11, 2020",,https://www.chess.com/game/live/5941443209
11,10 min,zainsiddiqii  (520)  Brotha700  (553),1  0,18.7  9.4,45,"Dec 12, 2020",,https://www.chess.com/game/live/5946313139
12,10 min,zainsiddiqii  (564)  mugman47  (769),1  0,72.3  62.9,30,"Dec 19, 2020",,https://www.chess.com/game/live/6006746495
13,30 min,mugman47  (598)  zainsiddiqii  (597),0  1,53.2  52.6,18,"Dec 19, 2020",,https://www.chess.com/game/live/6006877961
14,10 min,med443  (486)  zainsiddiqii  (562),1  0,63.9  61.8,25,"Dec 19, 2020",,https://www.chess.com/game/live/6007027072
15,15|10,Alan_Jernigan  (679)  zainsiddiqii  (545),1  0,38.3  17.5,36,"Dec 22, 2020",,https://www.chess.com/game/live/6028467880
16,15|10,zainsiddiqii  (539)  slaveking90  (458),½  ½,79.5  71.3,47,"Dec 22, 2020",,https://www.chess.com/game/live/6028546901
17,10 min,kobzzone  (1277)  zainsiddiqii  (538),1  0,82.8  72.2,32,"Dec 25, 2020",,https://www.chess.com/game/live/6053450807
18,10 min,zainsiddiqii  (576)  PawnEPandR  (794),1  0,65.2  58.7,32,"Dec 25, 2020",,https://www.chess.com/game/live/6053488296
19,10 min,abigsillyman  (584)  zainsiddiqii  (555),1  0,94  64.3,12,"Dec 25, 2020",,https://www.chess.com/game/live/6053566423
20,10 min,zainsiddiqii  (538)  harkyto  (611),0  1,79.3  72.4,42,"Dec 25, 2020",,https://www.chess.com/game/live/6054163608
21,10 min,PratapOp  (483)  zainsiddiqii  (555),0  1,54  70,31,"Dec 25, 2020",,https://www.chess.com/game/live/6055282276
22,10 min,zainsiddiqii  (539)  jaemoony  (596),0  1,51.8  55.3,37,"Dec 26, 2020",,https://www.chess.com/game/live/6061093630
23,10 min,zainsiddiqii  (556)  jimjamaua1  (530),1  0,33.9  6.8,35,"Dec 26, 2020",,https://www.chess.com/game/live/6061177617
24,10 min,menthealeau  (543)  zainsiddiqii  (572),0  1,35.5  32.6,28,"Dec 26, 2020",,https://www.chess.com/game/live/6061254002
25,10 min,8t89  (557)  zainsiddiqii  (587),0  1,29.2  75.2,48,"Dec 26, 2020",,https://www.chess.com/game/live/6061841537
26,10 min,PROMEK312  (622)  zainsiddiqii  (604),0  1,51.3  61,43,"Dec 26, 2020",,https://www.chess.com/game/live/6063767736
27,10 min,zainsiddiqii  (620)  sickcamp  (634),1  0,54.7  47.8,39,"Dec 27, 2020",,https://www.chess.com/game/live/6069405293
28,10 min,zainsiddiqii  (644)  Gabriel_Maquiso  (891),1  0,65.9  55.6,28,"Dec 27, 2020",,https://www.chess.com/game/live/6069512200
29,10 min,VN373  (305)  zainsiddiqii  (648),0  1,50.5  65.8,24,"Dec 27, 2020",,https://www.chess.com/game/live/6069548527
30,10 min,zainsiddiqii  (672)  sibamba  (978),1  0,72.4  74,32,"Dec 27, 2020",,https://www.chess.com/game/live/6069589497
31,10 min,zainsiddiqii  (688)  DanilaColbaskin  (738),1  0,75.2  66.8,41,"Dec 27, 2020",,https://www.chess.com/game/live/6069677427
32,10 min,zainsiddiqii  (676)  egeinanc  (717),0  1,17.6  18.2,29,"Dec 27, 2020",,https://www.chess.com/game/live/6069726252
33,10 min,MrSamSam  (1131)  zainsiddiqii  (674),1  0,77.3  62,25,"Dec 27, 2020",,https://www.chess.com/game/live/6069799909
34,10 min,ROYALA5  (620)  zainsiddiqii  (685),0  1,8.3  23.1,26,"Dec 27, 2020",,https://www.chess.com/game/live/6069840599
35,10 min,zainsiddiqii  (672)  mukagf  (655),0  1,65.8  77.3,38,"Dec 27, 2020",,https://www.chess.com/game/live/6069910588
36,10 min,Rahul_Sridhar  (687)  zainsiddiqii  (684),0  1,18.3  30.2,27,"Dec 27, 2020",,https://www.chess.com/game/live/6070885369
37,10 min,beno88culo  (628)  zainsiddiqii  (694),0  1,68.2  75.6,56,"Dec 27, 2020",,https://www.chess.com/game/live/6072208855
38,10 min,acumagneg  (708)  zainsiddiqii  (705),0  1,68.3  60.8,19,"Dec 28, 2020",,https://www.chess.com/game/live/6073761116
39,10 min,zainsiddiqii  (715)  shafferbendenis  (672),1  0,59.5  58.6,44,"Dec 28, 2020",,https://www.chess.com/game/live/6077959925
40,10 min,zainsiddiqii  (705)  GraysonWasTaken  (718),0  1,61.1  64.1,64,"Dec 29, 2020",,https://www.chess.com/game/live/6082759611
41,10 min,zainsiddiqii  (714)  Sglossy  (662),1  0,14  5.9,29,"Dec 29, 2020",,https://www.chess.com/game/live/6086670793
42,10 min,zainsiddiqii  (706)  Cizz18  (767),0  1,40.6  53.2,23,"Dec 29, 2020",,https://www.chess.com/game/live/6086728618
43,10 min,gabyc7  (668)  zainsiddiqii  (715),0  1,52.1  60.6,34,"Dec 29, 2020",,https://www.chess.com/game/live/6086760501
44,10 min,zainsiddiqii  (724)  bhanugahlot  (701),1  0,75.1  63.9,26,"Dec 29, 2020",,https://www.chess.com/game/live/6086877045
45,10 min,ChrisG22  (779)  zainsiddiqii  (716),1  0,90.1  75.9,38,"Dec 29, 2020",,https://www.chess.com/game/live/6088137937
46,10 min,amariweber  (686)  zainsiddiqii  (724),0  1,60.9  68.1,69,"Dec 29, 2020",,https://www.chess.com/game/live/6088204436
47,10 min,zainsiddiqii  (732)  sCUEwiff  (693),1  0,75  65.1,43,"Dec 29, 2020",,https://www.chess.com/game/live/6088326929
48,10 min,Synapticsneuro  (749)  zainsiddiqii  (741),0  1,47.8  47.7,32,"Dec 29, 2020",,https://www.chess.com/game/live/6089510871
49,10 min,Erikvillarreal0611  (782)  zainsiddiqii  (734),1  0,77.5  58.4,23,"Dec 29, 2020",,https://www.chess.com/game/live/6090393026
0,10 min,zainsiddiqii  (734)  Hinerdavan  (724),½  ½,95.1  98.4,5,"Dec 29, 2020",,https://www.chess.com/game/live/5900312365
1,10 min,zainsiddiqii  (743)  zachaumueller  (755),1  0,66.8  77.3,45,"Dec 29, 2020",,https://www.chess.com/game/live/5922717305
2,10 min,YoungScholarBaby  (719)  zainsiddiqii  (742),½  ½,15.7  31.3,28,"Dec 29, 2020",,https://www.chess.com/game/live/5923131073
3,10 min,zainsiddiqii  (735)  Ben_S0L0  (783),0  1,52.5  55.5,37,"Dec 29, 2020",,https://www.chess.com/game/live/5923181350
4,10 min,zainsiddiqii  (744)  Marc1911  (755),1  0,55.4  43.1,24,"Dec 30, 2020",,https://www.chess.com/game/live/5927374018
5,10 min,Fatmf  (720)  zainsiddiqii  (752),0  1,94.4  93.2,8,"Dec 30, 2020",,https://www.chess.com/game/live/5930521599
6,10 min,zainsiddiqii  (761)  JJJ1999  (775),1  0,55.9  40.7,23,"Dec 30, 2020",,https://www.chess.com/game/live/5930543392
7,10 min,Junn9  (721)  zainsiddiqii  (768),0  1,80.6  79,22,"Dec 30, 2020",,https://www.chess.com/game/live/5930567172
8,10 min,AllstarRanjith6  (767)  zainsiddiqii  (776),0  1,76.5  88.3,33,"Dec 30, 2020",,https://www.chess.com/game/live/5930631626
9,10 min,Rare_Udaddy  (804)  zainsiddiqii  (768),1  0,72.3  62,34,"Dec 30, 2020",,https://www.chess.com/game/live/5930695382
10,10 min,zainsiddiqii  (760)  Redball333  (760),0  1,45.4  53,19,"Dec 30, 2020",,https://www.chess.com/game/live/5941443209
11,10 min,zainsiddiqii  (767)  mukesh77  (698),1  0,68.5  57.9,36,"Dec 30, 2020",,https://www.chess.com/game/live/5946313139
12,10 min,zainsiddiqii  (760)  alexrz4  (801),0  1,29.3  61.2,33,"Dec 30, 2020",,https://www.chess.com/game/live/6006746495
13,10 min,Jetrayjack  (754)  zainsiddiqii  (752),1  0,69.9  58.7,25,"Dec 30, 2020",,https://www.chess.com/game/live/6006877961
14,10 min,Shrey2203  (798)  zainsiddiqii  (745),1  0,56  54.8,58,"Dec 30, 2020",,https://www.chess.com/game/live/6007027072
15,10 min,zainsiddiqii  (754)  Shsbgha  (785),1  0,90  70,24,"Dec 30, 2020",,https://www.chess.com/game/live/6028467880
16,10 min,zainsiddiqii  (762)  Disaresta  (740),1  0,36.8  34.9,33,"Dec 30, 2020",,https://www.chess.com/game/live/6028546901
17,10 min,zainsiddiqii  (762)  YB170489  (768),½  ½,76.7  79,28,"Dec 30, 2020",,https://www.chess.com/game/live/6053450807
18,10 min,shreyas14101  (792)  zainsiddiqii  (755),1  0,55.6  54.5,50,"Dec 30, 2020",,https://www.chess.com/game/live/6053488296
19,10 min,CrookedRook56  (723)  zainsiddiqii  (746),1  0,55  55.1,41,"Dec 30, 2020",,https://www.chess.com/game/live/6053566423
20,10 min,itsbzyn  (707)  zainsiddiqii  (753),0  1,65.3  73.5,41,"Dec 30, 2020",,https://www.chess.com/game/live/6054163608
21,10 min,zainsiddiqii  (745)  harshvir55  (780),0  1,74  89.6,15,"Dec 30, 2020",,https://www.chess.com/game/live/6055282276
22,10 min,Morkee  (730)  zainsiddiqii  (745),½  ½,55.3  60.2,72,"Dec 30, 2020",,https://www.chess.com/game/live/6061093630
23,10 min,zainsiddiqii  (752)  MessyElbow  (711),1  0,8.4  17.1,40,"Dec 30, 2020",,https://www.chess.com/game/live/6061177617
24,10 min,ArikDietrovic  (730)  zainsiddiqii  (743),1  0,58.6  50,33,"Dec 30, 2020",,https://www.chess.com/game/live/6061254002
25,10 min,PhilipHja  (744)  zainsiddiqii  (751),0  1,60  66.8,36,"Dec 30, 2020",,https://www.chess.com/game/live/6061841537
26,10 min,zainsiddiqii  (743)  xtttra  (749),0  1,61.3  62.6,50,"Dec 30, 2020",,https://www.chess.com/game/live/6063767736
27,10 min,zainsiddiqii  (751)  tjekket  (745),1  0,95.9  45.8,8,"Dec 30, 2020",,https://www.chess.com/game/live/6069405293
28,10 min,zainsiddiqii  (743)  AndersSkov4  (744),0  1,43.6  38.4,38,"Dec 30, 2020",,https://www.chess.com/game/live/6069512200
29,10 min,berfonungulu  (774)  zainsiddiqii  (752),0  1,58.5  73.7,30,"Dec 30, 2020",,https://www.chess.com/game/live/6069548527
30,10 min,zainsiddiqii  (743)  Slayer221  (736),0  1,49.3  54.6,33,"Dec 31, 2020",,https://www.chess.com/game/live/6069589497
31,10 min,vorylipolt  (769)  zainsiddiqii  (752),0  1,54.7  66.9,37,"Dec 31, 2020",,https://www.chess.com/game/live/6069677427
32,10 min,Generalxxy1  (753)  zainsiddiqii  (760),0  1,85.2  94.4,10,"Dec 31, 2020",,https://www.chess.com/game/live/6069726252
33,10 min,zainsiddiqii  (753)  eleiko2  (802),0  1,54.3  89,9,"Dec 31, 2020",,https://www.chess.com/game/live/6069799909
34,10 min,zainsiddiqii  (760)  goneyumpy  (718),1  0,44  39.3,71,"Dec 31, 2020",,https://www.chess.com/game/live/6069840599
35,10 min,DWC18  (780)  zainsiddiqii  (752),1  0,49.5  37.6,44,"Dec 31, 2020",,https://www.chess.com/game/live/6069910588
36,10 min,DrCuddleNinja  (767)  zainsiddiqii  (761),0  1,38.7  40.4,40,"Dec 31, 2020",,https://www.chess.com/game/live/6070885369
37,10 min,Jt_chess1  (787)  zainsiddiqii  (753),1  0,56.3  34.2,41,"Dec 31, 2020",,https://www.chess.com/game/live/6072208855
38,10 min,zainsiddiqii  (746)  Hamza1856  (802),0  1,60  65.7,41,"Dec 31, 2020",,https://www.chess.com/game/live/6073761116
39,10 min,Hamza1856  (785)  zainsiddiqii  (755),0  1,74.4  84.4,34,"Dec 31, 2020",,https://www.chess.com/game/live/6077959925
40,10 min,zainsiddiqii  (748)  Hamza1856  (798),0  1,53.8  63.5,21,"Dec 31, 2020",,https://www.chess.com/game/live/6082759611
41,10 min,Hamza1856  (810)  zainsiddiqii  (741),1  0,41.5  29.6,34,"Dec 31, 2020",,https://www.chess.com/game/live/6086670793
42,10 min,zainsiddiqii  (733)  Pasquale5297  (733),0  1,49  60.2,19,"Dec 31, 2020",,https://www.chess.com/game/live/6086728618
43,10 min,zainsiddiqii  (725)  RAGINGBOSS  (758),0  1,63.3  71.9,37,"Dec 31, 2020",,https://www.chess.com/game/live/6086760501
44,10 min,SirFrank7  (716)  zainsiddiqii  (733),0  1,46.2  75.9,13,"Dec 31, 2020",,https://www.chess.com/game/live/6086877045
45,10 min,zainsiddiqii  (726)  Nykev  (770),0  1,51  55.3,51,"Dec 31, 2020",,https://www.chess.com/game/live/6088137937
46,10 min,hediyya  (694)  zainsiddiqii  (733),0  1,21.8  76.2,5,"Dec 31, 2020",,https://www.chess.com/game/live/6088204436
47,10 min,zainsiddiqii  (740)  69Will69  (683),1  0,54  44.2,30,"Dec 31, 2020",,https://www.chess.com/game/live/6088326929
48,10 min,AuschwitzChessProd  (725)  zainsiddiqii  (748),0  1,70.4  66.6,28,"Dec 31, 2020",,https://www.chess.com/game/live/6089510871
49,10 min,zainsiddiqii  (741)  TMGeddy  (792),0  1,64.8  57.8,27,"Dec 31, 2020",,https://www.chess.com/game/live/6090393026
0,10 min,israelbelow  (715)  zainsiddiqii  (749),0  1,59.9  82.7,7,"Dec 31, 2020",,https://www.chess.com/game/live/5900312365
1,10 min,zainsiddiqii  (757)  gabygi02  (747),1  0,63.7  58.4,23,"Dec 31, 2020",,https://www.chess.com/game/live/5922717305
2,10 min,cm_98  (776)  zainsiddiqii  (749),1  0,95.2  75.8,9,"Dec 31, 2020",,https://www.chess.com/game/live/5923131073
3,10 min,zainsiddiqii  (742)  par4lyzed  (781),0  1,40  64,32,"Dec 31, 2020",,https://www.chess.com/game/live/5923181350
4,10 min,zainsiddiqii  (750)  PaPaPanch0  (715),1  0,46.6  46,44,"Dec 31, 2020",,https://www.chess.com/game/live/5927374018
5,10 min,cagueinacalca  (784)  zainsiddiqii  (743),1  0,41.5  36.4,37,"Dec 31, 2020",,https://www.chess.com/game/live/5930521599
6,10 min,tangdelimao  (731)  zainsiddiqii  (735),1  0,73.3  69.1,64,"Jan 1, 2021",,https://www.chess.com/game/live/5930543392
7,10 min,v_freak  (702)  zainsiddiqii  (726),1  0,83.2  11.8,23,"Jan 1, 2021",,https://www.chess.com/game/live/5930567172
8,10 min,zainsiddiqii  (735)  CAF222  (750),1  0,Review,49,"Jan 1, 2021",,https://www.chess.com/game/live/5930631626
9,10 min,weta0  (803)  zainsiddiqii  (728),1  0,50.6  30.5,21,"Jan 1, 2021",,https://www.chess.com/game/live/5930695382
10,10 min,zainsiddiqii  (721)  JackFlaps  (765),0  1,47.9  59.6,19,"Jan 1, 2021",,https://www.chess.com/game/live/5941443209
11,10 min,97redjeep97  (710)  zainsiddiqii  (729),0  1,44.6  38.2,39,"Jan 1, 2021",,https://www.chess.com/game/live/5946313139
12,10 min,zainsiddiqii  (737)  sbawz  (701),1  0,92.8  29.4,13,"Jan 1, 2021",,https://www.chess.com/game/live/6006746495
13,10 min,zainsiddiqii  (728)  zayatoma  (691),0  1,29.7  26.2,34,"Jan 1, 2021",,https://www.chess.com/game/live/6006877961
14,10 min,zainsiddiqii  (735)  haasy76  (655),1  0,57.9  10.5,11,"Jan 1, 2021",,https://www.chess.com/game/live/6007027072
15,10 min,zainsiddiqii  (744)  Funkybro6  (774),1  0,59.8  34.6,19,"Jan 1, 2021",,https://www.chess.com/game/live/6028467880
16,10 min,ruchit4  (776)  zainsiddiqii  (737),1  0,69.9  4.9,20,"Jan 1, 2021",,https://www.chess.com/game/live/6028546901
17,10 min,viswapass  (781)  zainsiddiqii  (746),0  1,64.7  8.4,22,"Jan 1, 2021",,https://www.chess.com/game/live/6053450807
18,10 min,ZippyThing  (683)  zainsiddiqii  (736),1  0,82.9  36.9,29,"Jan 1, 2021",,https://www.chess.com/game/live/6053488296
19,10 min,zainsiddiqii  (743)  SphericalBall  (702),1  0,82.3  49.2,28,"Jan 1, 2021",,https://www.chess.com/game/live/6053566423
20,10 min,Palehorse2021  (699)  zainsiddiqii  (750),0  1,34.5  75.1,47,"Jan 1, 2021",,https://www.chess.com/game/live/6054163608
21,10 min,zainsiddiqii  (742)  Danartha  (763),0  1,74.5  45.4,14,"Jan 1, 2021",,https://www.chess.com/game/live/6055282276
22,10 min,mercedesdenz8  (751)  zainsiddiqii  (750),0  1,11.2  61.1,29,"Jan 1, 2021",,https://www.chess.com/game/live/6061093630
23,10 min,zainsiddiqii  (742)  mikeonesti  (755),0  1,44.1  51.3,24,"Jan 1, 2021",,https://www.chess.com/game/live/6061177617
24,10 min,zainsiddiqii  (751)  GM_in_the_making  (785),1  0,25.4  39.1,21,"Jan 2, 2021",,https://www.chess.com/game/live/6061254002
25,10 min,zainsiddiqii  (759)  jjLabat  (762),1  0,7.1  17,32,"Jan 2, 2021",,https://www.chess.com/game/live/6061841537
26,10 min,zainsiddiqii  (752)  x-5939919961  (803),0  1,65.3  57.7,52,"Jan 2, 2021",,https://www.chess.com/game/live/6063767736
27,10 min,HattanBinHindi  (811)  zainsiddiqii  (745),1  0,72.8  55,21,"Jan 2, 2021",,https://www.chess.com/game/live/6069405293
28,10 min,manistinkatthis  (729)  zainsiddiqii  (753),0  1,58.1  78.8,26,"Jan 2, 2021",,https://www.chess.com/game/live/6069512200
29,10 min,zainsiddiqii  (744)  manistinkatthis  (738),0  1,68.7  75.7,42,"Jan 2, 2021",,https://www.chess.com/game/live/6069548527
30,10 min,manistinkatthis  (746)  zainsiddiqii  (736),1  0,90.1  16.6,24,"Jan 2, 2021",,https://www.chess.com/game/live/6069589497
31,10 min,pudrilla  (765)  zainsiddiqii  (728),1  0,73.4  47.2,40,"Jan 2, 2021",,https://www.chess.com/game/live/6069677427
32,10 min,zainsiddiqii  (719)  andresmanueldb  (692),0  1,25.4  54.9,41,"Jan 3, 2021",,https://www.chess.com/game/live/6069726252
33,10 min,zainsiddiqii  (727)  ThatBobCat  (696),1  0,35.6  43.3,31,"Jan 3, 2021",,https://www.chess.com/game/live/6069799909
34,10 min,aramirez909  (700)  zainsiddiqii  (718),1  0,82  23.5,29,"Jan 3, 2021",,https://www.chess.com/game/live/6069840599
35,10 min,zainsiddiqii  (727)  sayeedafg  (731),1  0,52.9  27.7,28,"Jan 3, 2021",,https://www.chess.com/game/live/6069910588
36,10 min,SneakyBeacon  (724)  zainsiddiqii  (719),1  0,57.3  42.1,37,"Jan 3, 2021",,https://www.chess.com/game/live/6070885369
37,10 min,zainsiddiqii  (729)  dopeboiscotto  (807),1  0,23.5  42,30,"Jan 3, 2021",,https://www.chess.com/game/live/6072208855
38,10 min,KeroChelsea4  (722)  zainsiddiqii  (721),1  0,8.5  10.7,18,"Jan 3, 2021",,https://www.chess.com/game/live/6073761116
39,10 min,time4drums  (826)  zainsiddiqii  (715),1  0,57.7  40.4,33,"Jan 3, 2021",,https://www.chess.com/game/live/6077959925
40,10 min,zainsiddiqii  (716)  ruairimccallan  (761),½  ½,92.8  78.8,53,"Jan 3, 2021",,https://www.chess.com/game/live/6082759611
41,10 min,Kowzak  (623)  zainsiddiqii  (722),0  1,72.5  90.7,24,"Jan 3, 2021",,https://www.chess.com/game/live/6086670793
42,10 min,zainsiddiqii  (722)  grimmy79  (702),½  ½,76.1  59.4,14,"Jan 3, 2021",,https://www.chess.com/game/live/6086728618
43,10 min,zainsiddiqii  (730)  falonso11  (706),1  0,68.1  32.2,18,"Jan 3, 2021",,https://www.chess.com/game/live/6086760501
44,10 min,zainsiddiqii  (728)  ahnafahad  (1040),0  1,57  64.2,50,"Jan 3, 2021",,https://www.chess.com/game/live/6086877045
45,10 min,ddunc  (713)  zainsiddiqii  (736),0  1,40.1  52.8,34,"Jan 3, 2021",,https://www.chess.com/game/live/6088137937
46,10 min,zainsiddiqii  (748)  Piettrohh01  (903),1  0,72.5  63.2,46,"Jan 3, 2021",,https://www.chess.com/game/live/6088204436
47,10 min,Ezeangeleri  (774)  zainsiddiqii  (740),1  0,60.1  5.9,17,"Jan 3, 2021",,https://www.chess.com/game/live/6088326929
48,10 min,eunan12  (735)  zainsiddiqii  (732),1  0,84  4.6,20,"Jan 4, 2021",,https://www.chess.com/game/live/6089510871
49,10 min,willdawes  (700)  zainsiddiqii  (723),1  0,85.6  61.8,14,"Jan 4, 2021",,https://www.chess.com/game/live/6090393026
0,10 min,zainsiddiqii  (715)  N0sr3t3p  (727),0  1,20.5  35.4,55,"Jan 4, 2021",,https://www.chess.com/game/live/5900312365
1,10 min,zainsiddiqii  (724)  richarduchang  (755),1  0,71.6  64.5,45,"Jan 4, 2021",,https://www.chess.com/game/live/5922717305
2,10 min,shanlirichez  (742)  zainsiddiqii  (733),0  1,29.3  59.5,19,"Jan 4, 2021",,https://www.chess.com/game/live/5923131073
3,10 min,zainsiddiqii  (724)  warehead  (719),0  1,15  37.6,41,"Jan 4, 2021",,https://www.chess.com/game/live/5923181350
4,10 min,Charles0203  (721)  zainsiddiqii  (716),1  0,36.7  38.7,43,"Jan 4, 2021",,https://www.chess.com/game/live/5927374018
5,10 min,zainsiddiqii  (709)  thewoodzman  (751),0  1,47.8  51.9,15,"Jan 4, 2021",,https://www.chess.com/game/live/5930521599
6,10 min,JoshPrestige54  (728)  zainsiddiqii  (718),0  1,18  54.3,32,"Jan 4, 2021",,https://www.chess.com/game/live/5930543392
7,10 min,zainsiddiqii  (725)  Blakemci  (683),1  0,63.8  8.7,15,"Jan 4, 2021",,https://www.chess.com/game/live/5930567172
8,10 min,zainsiddiqii  (733)  Duchesne_Antoine  (718),1  0,90  19.2,32,"Jan 4, 2021",,https://www.chess.com/game/live/5930631626
9,10 min,uverworldcrew  (754)  zainsiddiqii  (742),0  1,9.4  38.3,13,"Jan 5, 2021",,https://www.chess.com/game/live/5930695382
10,10 min,jjhjkjh  (727)  zainsiddiqii  (750),0  1,64.4  79.9,22,"Jan 5, 2021",,https://www.chess.com/game/live/5941443209
11,10 min,zainsiddiqii  (759)  SiddheshBhalerao  (766),1  0,36.5  7.6,23,"Jan 5, 2021",,https://www.chess.com/game/live/5946313139
12,10 min,zainsiddiqii  (768)  spidey1775  (771),1  0,85.7  51.8,14,"Jan 5, 2021",,https://www.chess.com/game/live/6006746495
13,10 min,zainsiddiqii  (775)  khantminn  (737),1  0,68.8  17.9,15,"Jan 5, 2021",,https://www.chess.com/game/live/6006877961
14,10 min,zainsiddiqii  (774)  Bapple34  (720),½  ½,41.9  22.6,35,"Jan 5, 2021",,https://www.chess.com/game/live/6007027072
15,10 min,Curry274  (809)  zainsiddiqii  (783),0  1,63  68.3,38,"Jan 5, 2021",,https://www.chess.com/game/live/6028467880
16,10 min,azzar73  (820)  zainsiddiqii  (776),1  0,85.8  59.5,32,"Jan 5, 2021",,https://www.chess.com/game/live/6028546901
17,10 min,willywonka30  (744)  zainsiddiqii  (775),1  0,29  49.6,49,"Jan 6, 2021",,https://www.chess.com/game/live/6053450807
18,10 min,zainsiddiqii  (767)  IsaacMurciano  (776),0  1,15.2  18.2,56,"Jan 6, 2021",,https://www.chess.com/game/live/6053488296
19,10 min,wienerja  (760)  zainsiddiqii  (775),0  1,59.6  68.2,12,"Jan 6, 2021",,https://www.chess.com/game/live/6053566423
20,10 min,Mrbuster2000  (782)  zainsiddiqii  (767),1  0,53.4  45.7,49,"Jan 6, 2021",,https://www.chess.com/game/live/6054163608
21,10 min,zainsiddiqii  (775)  fulcanelli12  (777),1  0,56.5  29,41,"Jan 6, 2021",,https://www.chess.com/game/live/6055282276
22,10 min,zainsiddiqii  (782)  Arnaud2705  (741),1  0,81  72.9,43,"Jan 6, 2021",,https://www.chess.com/game/live/6061093630
23,10 min,zainsiddiqii  (773)  neamhaque777  (767),0  1,41.5  70.9,45,"Jan 6, 2021",,https://www.chess.com/game/live/6061177617
24,10 min,slawmtggun  (744)  zainsiddiqii  (781),0  1,54.4  64.5,46,"Jan 6, 2021",,https://www.chess.com/game/live/6061254002
25,10 min,Rouflaquequette  (815)  zainsiddiqii  (774),1  0,86.8  52.9,57,"Jan 6, 2021",,https://www.chess.com/game/live/6061841537
26,10 min,zainsiddiqii  (782)  uniqueuly  (749),1  0,57.7  52.9,36,"Jan 6, 2021",,https://www.chess.com/game/live/6063767736
27,10 min,zainsiddiqii  (790)  insano0  (769),1  0,79.6  64.9,39,"Jan 6, 2021",,https://www.chess.com/game/live/6069405293
28,10 min,Fabula7  (833)  zainsiddiqii  (783),1  0,48.2  48.9,34,"Jan 7, 2021",,https://www.chess.com/game/live/6069512200
29,5 min,zainsiddiqii  (230)  henristotle  (428),0  1,100  83.6,5,"Jan 7, 2021",,https://www.chess.com/game/live/6069548527
30,10 min,zainsiddiqii  (790)  PatheticMix  (747),1  0,36  16.2,26,"Jan 7, 2021",,https://www.chess.com/game/live/6069589497
31,5 min,trab39b  (241)  zainsiddiqii  (356),0  1,42  56.5,26,"Jan 7, 2021",,https://www.chess.com/game/live/6069677427
32,5 min,kxnnxr  (410)  zainsiddiqii  (278),1  0,58.6  39.9,15,"Jan 7, 2021",,https://www.chess.com/game/live/6069726252
33,5 min,DarKdAys0107  (388)  zainsiddiqii  (375),0  1,64.1  89.1,8,"Jan 7, 2021",,https://www.chess.com/game/live/6069799909
34,5 min,zainsiddiqii  (325)  pepito_81  (475),0  1,81.2  70.3,38,"Jan 7, 2021",,https://www.chess.com/game/live/6069840599
35,10 min,zainsiddiqii  (798)  jaimerdz1  (794),1  0,70.6  38,36,"Jan 7, 2021",,https://www.chess.com/game/live/6069910588
36,5 min,Error_Hentai  (202)  zainsiddiqii  (362),0  1,61.6  66.9,27,"Jan 7, 2021",,https://www.chess.com/game/live/6070885369
37,5 min,Barnal01  (395)  zainsiddiqii  (415),0  1,33.2  42.3,21,"Jan 7, 2021",,https://www.chess.com/game/live/6072208855
38,5 min,zainsiddiqii  (373)  gabriele108  (428),0  1,65.4  56.4,17,"Jan 7, 2021",,https://www.chess.com/game/live/6073761116
39,5 min,zainsiddiqii  (338)  geeky_aadi  (404),0  1,62.3  69.7,20,"Jan 7, 2021",,https://www.chess.com/game/live/6077959925
40,5 min,malka_shapka  (314)  zainsiddiqii  (370),0  1,48.2  54.6,25,"Jan 7, 2021",,https://www.chess.com/game/live/6082759611
41,5 min,zainsiddiqii  (400)  orinetel  (351),1  0,81.2  68.4,36,"Jan 7, 2021",,https://www.chess.com/game/live/6086670793
